Estacion_A,Estacion_B,Distancia
PUENTE AEREO,EL DORADO,1.1505678668556307
PUENTE AEREO,Colegio Estrada de María Auxiliadora,4.7935593927204305
PUENTE AEREO,Parque Normandía,3.540582329052397
PUENTE AEREO,Br. La Laguna Fontibón,2.907723950998327
PUENTE AEREO,Br. La Tortigua,2.7671917868647364
PUENTE AEREO,Ciudadela Colsubsidio IV Sector,4.5550652475100435
PUENTE AEREO,Br. El Minuto de Dios,4.780485141402331
PUENTE AEREO,Br. Ferrocaja,2.0166130568991925
PUENTE AEREO,Brisas Aldea Fontibón,2.952003956285987
PUENTE AEREO,Br. Villa del Pinar,2.4746888451444
PUENTE AEREO,Br. Lujan,3.971100556289146
PUENTE AEREO,Alameda de Villaluz,3.3169509436688545
PUENTE AEREO,Parque Castilla Reservado,4.947030747493896
PUENTE AEREO,Br. San Ignacio,3.244823759759882
PUENTE AEREO,Br. Álamos Norte,2.222413983423826
PUENTE AEREO,Br. Sabana del Dorado,2.0706819952980187
PUENTE AEREO,IED Costa Rica,1.5672274510940964
PUENTE AEREO,Br. La Estrada,4.652973061141683
ESTACION DE TELEFERICO,ESTACION DE TELEFERICO,0.6154465173522352
ESTACION DE TELEFERICO,PLAZA DE MERCADO DE PALOQUEMAO,2.992003674104749
ESTACION DE TELEFERICO,ESTACION DE LA SABANA,2.550514977349186
ESTACION DE TELEFERICO,ESTACION DE FUNICULAR,0.02769269117370613
ESTACION DE TELEFERICO,ESTACION DE FUNICULAR,0.6511490984612843
ESTACION DE TELEFERICO,Br. Alfonso López,4.3337126775215715
ESTACION DE TELEFERICO,Br. Galerías,4.50183268925765
ESTACION DE TELEFERICO,Estación Zona Industrial,4.590378987312092
ESTACION DE TELEFERICO,Br. La Capuchina,1.6530784941412664
ESTACION DE TELEFERICO,Br. Cundinamarca,4.044221264582789
ESTACION DE TELEFERICO,Br. La Soledad,3.7095282092080737
ESTACION DE TELEFERICO,Pl. Paloquemao,3.083883677818068
ESTACION DE TELEFERICO,Escuela María Montessori,4.109908352771306
ESTACION DE TELEFERICO,Carrera  5A,4.7602693366328275
ESTACION DE TELEFERICO,Br. Sociego,4.7565472335435475
ESTACION DE TELEFERICO,PLAZA DE MERCADO DE PALOQUEMAO,3.42316772467784
ESTACION DE TELEFERICO,ESTACION DE LA SABANA,3.097807187601432
ESTACION DE TELEFERICO,ESTACION DE FUNICULAR,0.6343124177719448
ESTACION DE TELEFERICO,ESTACION DE FUNICULAR,0.1361163043776774
ESTACION DE TELEFERICO,Br. Alfonso López,4.378008893589793
ESTACION DE TELEFERICO,Br. Galerías,4.5391722893752275
ESTACION DE TELEFERICO,Br. La Capuchina,2.172277064860787
ESTACION DE TELEFERICO,Br. Cundinamarca,4.458462179416838
ESTACION DE TELEFERICO,Br. La Soledad,3.8204810813223125
ESTACION DE TELEFERICO,Pl. Paloquemao,3.5287697938897526
ESTACION DE TELEFERICO,Escuela María Montessori,4.71680146109417
AEROPUERTO GUAYMARAL,Colegio San Mateo Apóstol,3.218831762641565
PLAZA DE MERCADO DE PALOQUEMAO,ESTACION DE LA SABANA,1.0287591409503232
PLAZA DE MERCADO DE PALOQUEMAO,ESTACION DE FUNICULAR,2.9643218738421653
PLAZA DE MERCADO DE PALOQUEMAO,ESTACION DE FUNICULAR,3.529833575459296
PLAZA DE MERCADO DE PALOQUEMAO,Br. Milenta,4.815442501946306
PLAZA DE MERCADO DE PALOQUEMAO,Br. Alfonso López,2.8219777407593156
PLAZA DE MERCADO DE PALOQUEMAO,Br. Galerías,2.9724921390428474
